,H3BO3[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM]
0,0.44087314502477293,-0.32291888325397156,0.19793176399343881,0.12491887141703684,-0.9908353969055098,0.8120560952513172,-0.629935532803148,-0.2738083963747008,0.37240862637889793,-0.1176676797989955,-0.2708915289988435,0.5000781232651497
1,-0.022708634478561862,0.6105986714097074,-0.4932865540699668,-0.05198100460086774,-0.20779575346104096,0.6208491431848893,-0.7775536023898003,0.2672726635981044,-0.1682116481151834,0.9306200653379504,0.8143390535372184,0.10161050042366249
2,-0.8534160908442568,-0.6716328289797849,-0.5406215408651844,0.15990731121513013,-0.1919955833422139,0.5893310099480644,-0.23746505992412625,0.794960273543664,0.3204830576742166,-0.0067147841004285835,0.5490938048180058,-0.4741680578492322
3,-0.23713646934165844,-0.5160284156764675,-0.11964064597406898,-0.29323552648321904,-0.9293811374853094,0.5159538474497165,0.11666742506280614,-0.5808184333894175,-0.2683014106801108,0.4137160686028438,-0.958259541180551,-0.6110625441797806
4,-0.927506326566249,-0.8348315630423974,-0.6145853009587923,-0.7584110612752907,0.15029657704054955,-0.4090044643907995,0.04379121000935138,-0.19545890457916681,-0.2559305214951859,-0.1705046025756033,-0.4855524992885202,-0.052449451004307535
5,-0.3066925434428929,0.9212667873410341,0.26241557637510393,-0.6505973438276675,0.11210930407001474,-0.6764404892337957,0.7604174816532681,-0.33477219988097284,0.1385964322672537,0.2560926119318754,0.1321326347982268,-0.971022990840471
6,-0.11959549929683688,-0.5938847505801933,0.7236597925227819,0.9999524566990428,0.7398592094922247,-0.8177963810426009,-0.8205098478879216,0.12130069054371173,-0.6741949970997974,0.8496498543953088,0.026160741223071327,0.009204558226997284
7,-0.4170988798712293,0.07233143063205327,0.8291128136239994,-0.5473283428569357,0.6413093969207169,0.41758953986438074,-0.3470847768654496,0.6249940161978711,-0.12590990131679247,0.33351360174122924,-0.849923923957706,-0.7992385089173687
8,0.7307386466537602,-0.16505533291779417,-0.9240304871422083,0.382198019129496,-0.4625951217250097,0.3409004683732175,0.7181296212881767,0.9917980349675186,0.5637735109633184,0.6477891999672054,0.906336966867686,-0.3419588371983667
9,-0.19239607564646055,-0.2651126383478182,0.010119811979709237,-0.8033941873924724,-0.7713930026331021,-0.764685353413957,0.9436470333315026,-0.03514756031497024,0.062357126685450126,-0.4221600482937585,0.9773174390998207,-0.9016257866448096
