Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Water,Culture
A1,35.29411764705874,15.0,5.0,33.3751271080196,66.2203388440115,24.326286399235634,25.0,11.099638605056917,5.0,497.9234224285323,25.0,25.0,25.0,25.0,5.0,5.0,656.7610689680853,15.0
B1,35.29411764705874,15.0,5.0,33.3751271080196,66.2203388440115,24.326286399235634,25.0,11.099638605056917,5.0,497.9234224285323,25.0,25.0,25.0,25.0,5.0,5.0,656.7610689680853,15.0
C1,35.29411764705874,15.0,5.0,33.3751271080196,66.2203388440115,24.326286399235634,25.0,11.099638605056917,5.0,497.9234224285323,25.0,25.0,25.0,25.0,5.0,5.0,656.7610689680853,15.0
D1,35.29411764705882,15.0,38.950996805947504,33.37532048377711,65.36046581982818,24.387986322762227,24.341467365055873,11.07688728542985,19.192254417411252,497.9202724295173,24.493616528258332,23.2790256853125,17.366859765245,18.438865730199687,13.657628224146865,5.0,617.8642354900495,15.0
E1,35.29411764705882,15.0,38.950996805947504,33.37532048377711,65.36046581982818,24.387986322762227,24.341467365055873,11.07688728542985,19.192254417411252,497.9202724295173,24.493616528258332,23.2790256853125,17.366859765245,18.438865730199687,13.657628224146865,5.0,617.8642354900495,15.0
F1,35.29411764705882,15.0,38.950996805947504,33.37532048377711,65.36046581982818,24.387986322762227,24.341467365055873,11.07688728542985,19.192254417411252,497.9202724295173,24.493616528258332,23.2790256853125,17.366859765245,18.438865730199687,13.657628224146865,5.0,617.8642354900495,15.0
A2,35.29411764705915,15.0,31.515909938000004,51.96797609549701,54.296385629493834,18.9487132367206,24.058839888375275,10.541112791470974,5.602789420736404,496.7247403811158,23.358444984066672,23.350196804508332,23.1029687632875,16.856384036557813,6.3627350781075,5.0,643.0186853050033,15.0
B2,35.29411764705915,15.0,31.515909938000004,51.96797609549701,54.296385629493834,18.9487132367206,24.058839888375275,10.541112791470974,5.602789420736404,496.7247403811158,23.358444984066672,23.350196804508332,23.1029687632875,16.856384036557813,6.3627350781075,5.0,643.0186853050033,15.0
C2,35.29411764705915,15.0,31.515909938000004,51.96797609549701,54.296385629493834,18.9487132367206,24.058839888375275,10.541112791470974,5.602789420736404,496.7247403811158,23.358444984066672,23.350196804508332,23.1029687632875,16.856384036557813,6.3627350781075,5.0,643.0186853050033,15.0
D2,35.29411764705846,15.0,9.019074388627564,61.1072554775106,7.482462139069438,9.022954318519709,24.931231406767022,9.301005189290002,71.33012265464669,496.5025311658929,24.442966840183335,24.7306718059425,24.915610122775,14.336331614757812,15.279100301625002,5.0,637.304564927334,15.0
