Well,H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],OD340yield_pred,OD340yield_std,Label
A1,0.0004,66.7502542160392,1.9203898264763333,6.422139609398207,0.1,14.059542233072097,0.052,497.9234224285323,0.0003,0.003,0.001,0.008,1e-05,0.010839382978047042,0.00557409746351676,explore
B1,0.0004,66.7502542160392,1.9203898264763333,6.422139609398207,0.1,14.059542233072097,0.052,497.9234224285323,0.0003,0.003,0.001,0.008,1e-05,0.010839382978047042,0.00557409746351676,explore
C1,0.0004,66.7502542160392,1.9203898264763333,6.422139609398207,0.1,14.059542233072097,0.052,497.9234224285323,0.0003,0.003,0.001,0.008,1e-05,0.010839382978047042,0.00557409746351676,explore
D1,0.00311607974447585,66.75064096755422,1.895453508775017,6.438428389209228,0.0973658694602235,14.03072389487781,0.19959944594107704,497.92027242951724,0.0002939233983391925,0.0027934830822375248,0.0006946743906098571,0.005900437033663991,2.731525644829373e-05,0.010425534915825724,0.005346145938865167,explore
E1,0.00311607974447585,66.75064096755422,1.895453508775017,6.438428389209228,0.0973658694602235,14.03072389487781,0.19959944594107704,497.92027242951724,0.0002939233983391925,0.0027934830822375248,0.0006946743906098571,0.005900437033663991,2.731525644829373e-05,0.010425534915825724,0.005346145938865167,explore
F1,0.00311607974447585,66.75064096755422,1.895453508775017,6.438428389209228,0.0973658694602235,14.03072389487781,0.19959944594107704,497.92027242951724,0.0002939233983391925,0.0027934830822375248,0.0006946743906098571,0.005900437033663991,2.731525644829373e-05,0.010425534915825724,0.005346145938865167,explore
A2,0.0025212727950400804,103.93595219099402,1.5745951832553213,5.002460294494238,0.0962353595535011,13.352076202529899,0.05826900997565865,496.7247403811158,0.00028030133980880674,0.002802023616541074,0.0009241187505315326,0.005394042891698597,0.0002545094031243981,0.009362973823783385,0.005320948494314652,explore
B2,0.0025212727950400804,103.93595219099402,1.5745951832553213,5.002460294494238,0.0962353595535011,13.352076202529899,0.05826900997565865,496.7247403811158,0.00028030133980880674,0.002802023616541074,0.0009241187505315326,0.005394042891698597,0.0002545094031243981,0.009362973823783385,0.005320948494314652,explore
C2,0.0025212727950400804,103.93595219099402,1.5745951832553213,5.002460294494238,0.0962353595535011,13.352076202529899,0.05826900997565865,496.7247403811158,0.00028030133980880674,0.002802023616541074,0.0009241187505315326,0.005394042891698597,0.0002545094031243981,0.009362973823783385,0.005320948494314652,explore
D2,0.014430519021804197,122.21451095502121,0.2169914020330137,2.3820599400892033,0.09972492562706813,11.781273239767335,0.7418332756083255,496.50253116589295,0.00029331560208229834,0.002967680616713124,0.0009966244049110027,0.004587626116722538,0.0006111640120650229,0.00828936544544798,0.005239526112643939,explore
E2,0.014430519021804197,122.21451095502121,0.2169914020330137,2.3820599400892033,0.09972492562706813,11.781273239767335,0.7418332756083255,496.50253116589295,0.00029331560208229834,0.002967680616713124,0.0009966244049110027,0.004587626116722538,0.0006111640120650229,0.00828936544544798,0.005239526112643939,explore
F2,0.014430519021804197,122.21451095502121,0.2169914020330137,2.3820599400892033,0.09972492562706813,11.781273239767335,0.7418332756083255,496.50253116589295,0.00029331560208229834,0.002967680616713124,0.0009966244049110027,0.004587626116722538,0.0006111640120650229,0.00828936544544798,0.005239526112643939,explore
A3,0.013209977964763753,156.40563650919808,1.429832855780632,2.5513288628664776,0.09380494112528924,11.772126310816013,0.5262362783902792,498.46399176561465,0.00023995109628792202,0.0029714262450591623,0.0009640167018310295,0.004349170974898181,0.00017786294946411235,0.008051790652308297,0.005218281310847147,explore
B3,0.013209977964763753,156.40563650919808,1.429832855780632,2.5513288628664776,0.09380494112528924,11.772126310816013,0.5262362783902792,498.46399176561465,0.00023995109628792202,0.0029714262450591623,0.0009640167018310295,0.004349170974898181,0.00017786294946411235,0.008051790652308297,0.005218281310847147,explore
C3,0.013209977964763753,156.40563650919808,1.429832855780632,2.5513288628664776,0.09380494112528924,11.772126310816013,0.5262362783902792,498.46399176561465,0.00023995109628792202,0.0029714262450591623,0.0009640167018310295,0.004349170974898181,0.00017786294946411235,0.008051790652308297,0.005218281310847147,explore
D3,0.0022928406181201913,15.585714506148491,2.178632259332651,4.958269164017907,0.02381117285765833,7.227938117013101,5.186840285273846,414.0988809205676,4.337234570841539e-05,0.0017063549422110572,0.00020923475445538904,0.0012518622920837021,0.0007387741258518503,0.017742172849713758,0.004933616687137051,explore
