,H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],OD340yield_pred,OD340yield_std,Label
0,0.013782394,42.79531897,0.68997897,5.890308395,0.080204478,8.53423028,3.03643463,490.6453325,0.000141108,0.002972265,7.9e-05,0.003380805,0.000836233,0.015963904,0.003945504570210799,explore
1,0.013782394,42.79531897,0.68997897,5.890308395,0.080204478,8.53423028,3.03643463,490.6453325,0.000141108,0.002972265,7.9e-05,0.003380805,0.000836233,0.015963904,0.003945504570210799,explore
2,0.013782394,42.79531897,0.68997897,5.890308395,0.080204478,8.53423028,3.03643463,490.6453325,0.000141108,0.002972265,7.9e-05,0.003380805,0.000836233,0.015963904,0.003945504570210799,explore
3,0.00219631,46.30334117,1.627894433,0.419898272,0.072131704,8.598819386,3.170558378,428.8030225,0.000242606,0.002480256,0.000942957,0.005789043,0.000796095,0.01676449,0.003945489042403235,explore
4,0.00219631,46.30334117,1.627894433,0.419898272,0.072131704,8.598819386,3.170558378,428.8030225,0.000242606,0.002480256,0.000942957,0.005789043,0.000796095,0.01676449,0.003945489042403235,explore
5,0.00219631,46.30334117,1.627894433,0.419898272,0.072131704,8.598819386,3.170558378,428.8030225,0.000242606,0.002480256,0.000942957,0.005789043,0.000796095,0.01676449,0.003945489042403235,explore
6,0.021026744,38.73606481,0.039388763,1.447581933,0.060419381,11.49584622,3.470096637,234.0713249,0.000257476,0.001494849,0.000815347,0.007780995,0.000855231,0.01289368,0.003934343840926713,explore
7,0.021026744,38.73606481,0.039388763,1.447581933,0.060419381,11.49584622,3.470096637,234.0713249,0.000257476,0.001494849,0.000815347,0.007780995,0.000855231,0.01289368,0.003934343840926713,explore
8,0.021026744,38.73606481,0.039388763,1.447581933,0.060419381,11.49584622,3.470096637,234.0713249,0.000257476,0.001494849,0.000815347,0.007780995,0.000855231,0.01289368,0.003934343840926713,explore
9,0.010362473,3.042005165,1.201076486,4.945357341,0.09694625,7.701754726,1.74352864,318.415402,0.000232747,0.002811463,0.000979594,0.00635151,0.000712784,0.04107109,0.003798127382932469,exploit
10,0.010362473,3.042005165,1.201076486,4.945357341,0.09694625,7.701754726,1.74352864,318.415402,0.000232747,0.002811463,0.000979594,0.00635151,0.000712784,0.04107109,0.003798127382932469,exploit
11,0.010362473,3.042005165,1.201076486,4.945357341,0.09694625,7.701754726,1.74352864,318.415402,0.000232747,0.002811463,0.000979594,0.00635151,0.000712784,0.04107109,0.003798127382932469,exploit
12,0.035994792,3.06935967,1.9109741,3.277693882,0.06577781,6.387180415,4.389175496,450.7764264,0.000144367,0.002920868,0.000684049,0.002558889,0.000815681,0.041016924,0.003811545812476316,exploit
