Well,H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM]
A1,0.0036614236694747027,32.989242856449195,0.1449535811661142,0.6142895430913453,0.017450475172662922,7.979403118903866,0.2707856582882204,26.240883125165983,2.083520658963305e-05,0.0007063359964535861,0.0001881328775910183,0.0005459547147156758,9.230938387055313e-05
B1,0.0036614236694747027,32.989242856449195,0.1449535811661142,0.6142895430913453,0.017450475172662922,7.979403118903866,0.2707856582882204,26.240883125165983,2.083520658963305e-05,0.0007063359964535861,0.0001881328775910183,0.0005459547147156758,9.230938387055313e-05
C1,0.0036614236694747027,32.989242856449195,0.1449535811661142,0.6142895430913453,0.017450475172662922,7.979403118903866,0.2707856582882204,26.240883125165983,2.083520658963305e-05,0.0007063359964535861,0.0001881328775910183,0.0005459547147156758,9.230938387055313e-05
D1,0.033184881324606674,10.948725328458394,2.4080748191792507,2.3813157563672585,0.08337454788955646,6.352851569103919,0.39484526261137454,42.424487377380146,1.0172319323193843e-05,0.0017769498138154583,0.000276786509934637,0.0003960238911342858,5.3323484951298476e-05
E1,0.033184881324606674,10.948725328458394,2.4080748191792507,2.3813157563672585,0.08337454788955646,6.352851569103919,0.39484526261137454,42.424487377380146,1.0172319323193843e-05,0.0017769498138154583,0.000276786509934637,0.0003960238911342858,5.3323484951298476e-05
F1,0.033184881324606674,10.948725328458394,2.4080748191792507,2.3813157563672585,0.08337454788955646,6.352851569103919,0.39484526261137454,42.424487377380146,1.0172319323193843e-05,0.0017769498138154583,0.000276786509934637,0.0003960238911342858,5.3323484951298476e-05
A2,0.0010960707085005766,129.69515996908174,0.21598646768184293,5.430301460335344,0.07054267971046724,9.62886288462431,0.3960815688665122,21.949810016638015,0.0001852094206932431,5.399464404787187e-05,2.68695888617998e-05,0.0007706555045651545,2.8459352651315173e-05
B2,0.0010960707085005766,129.69515996908174,0.21598646768184293,5.430301460335344,0.07054267971046724,9.62886288462431,0.3960815688665122,21.949810016638015,0.0001852094206932431,5.399464404787187e-05,2.68695888617998e-05,0.0007706555045651545,2.8459352651315173e-05
C2,0.0010960707085005766,129.69515996908174,0.21598646768184293,5.430301460335344,0.07054267971046724,9.62886288462431,0.3960815688665122,21.949810016638015,0.0001852094206932431,5.399464404787187e-05,2.68695888617998e-05,0.0007706555045651545,2.8459352651315173e-05
D2,0.01788339896066911,152.88353560354247,0.24990611961730474,0.8536147714485939,0.004581378061959798,13.45555455798996,0.35353800523829515,370.41529758660755,2.964476691041043e-05,0.0002048587527273781,7.51186083623548e-05,0.00014312610973538773,0.0007679618624147297
E2,0.01788339896066911,152.88353560354247,0.24990611961730474,0.8536147714485939,0.004581378061959798,13.45555455798996,0.35353800523829515,370.41529758660755,2.964476691041043e-05,0.0002048587527273781,7.51186083623548e-05,0.00014312610973538773,0.0007679618624147297
F2,0.01788339896066911,152.88353560354247,0.24990611961730474,0.8536147714485939,0.004581378061959798,13.45555455798996,0.35353800523829515,370.41529758660755,2.964476691041043e-05,0.0002048587527273781,7.51186083623548e-05,0.00014312610973538773,0.0007679618624147297
A3,0.004366297301938579,8.188010450530282,0.10484767381056008,1.071416840014242,0.047947372283181224,8.426906594988939,0.07550985122231366,113.69669545421334,2.3411956641286688e-05,0.0002278230193667129,0.0007094781411353081,0.0064121266214553704,1.0148174427482271e-05
B3,0.004366297301938579,8.188010450530282,0.10484767381056008,1.071416840014242,0.047947372283181224,8.426906594988939,0.07550985122231366,113.69669545421334,2.3411956641286688e-05,0.0002278230193667129,0.0007094781411353081,0.0064121266214553704,1.0148174427482271e-05
C3,0.004366297301938579,8.188010450530282,0.10484767381056008,1.071416840014242,0.047947372283181224,8.426906594988939,0.07550985122231366,113.69669545421334,2.3411956641286688e-05,0.0002278230193667129,0.0007094781411353081,0.0064121266214553704,1.0148174427482271e-05
D3,0.025472872871037038,85.75203774851018,2.5874345485681673,0.3455398707242404,0.005926917416066939,9.224615585248593,1.1910674268734376,18.632418630086462,1.516663009184231e-05,0.0001910947756136526,0.00033762324646965046,0.001204859694610512,6.783623753199087e-05
E3,0.025472872871037038,85.75203774851018,2.5874345485681673,0.3455398707242404,0.005926917416066939,9.224615585248593,1.1910674268734376,18.632418630086462,1.516663009184231e-05,0.0001910947756136526,0.00033762324646965046,0.001204859694610512,6.783623753199087e-05
F3,0.025472872871037038,85.75203774851018,2.5874345485681673,0.3455398707242404,0.005926917416066939,9.224615585248593,1.1910674268734376,18.632418630086462,1.516663009184231e-05,0.0001910947756136526,0.00033762324646965046,0.001204859694610512,6.783623753199087e-05
A4,0.0263032211227346,17.87547010844493,0.28726133620853483,4.41032788021016,0.030830178292848377,10.915878101949199,3.4574688927887496,58.112395302744424,1.6637471301627926e-05,0.00017064519089651767,4.151831640877255e-05,0.00775216796140562,0.0003911467510787825
B4,0.0263032211227346,17.87547010844493,0.28726133620853483,4.41032788021016,0.030830178292848377,10.915878101949199,3.4574688927887496,58.112395302744424,1.6637471301627926e-05,0.00017064519089651767,4.151831640877255e-05,0.00775216796140562,0.0003911467510787825
C4,0.0263032211227346,17.87547010844493,0.28726133620853483,4.41032788021016,0.030830178292848377,10.915878101949199,3.4574688927887496,58.112395302744424,1.6637471301627926e-05,0.00017064519089651767,4.151831640877255e-05,0.00775216796140562,0.0003911467510787825
D4,0.036303129250781024,104.15682336047777,1.1096818416590264,3.923182064816999,0.02774576795652222,14.012436456693274,0.170738381896574,255.57938175586,9.722887448867196e-05,0.000286357255587501,0.0004138854501459783,0.0048781368518366515,0.000684335552716649
E4,0.036303129250781024,104.15682336047777,1.1096818416590264,3.923182064816999,0.02774576795652222,14.012436456693274,0.170738381896574,255.57938175586,9.722887448867196e-05,0.000286357255587501,0.0004138854501459783,0.0048781368518366515,0.000684335552716649
F4,0.036303129250781024,104.15682336047777,1.1096818416590264,3.923182064816999,0.02774576795652222,14.012436456693274,0.170738381896574,255.57938175586,9.722887448867196e-05,0.000286357255587501,0.0004138854501459783,0.0048781368518366515,0.000684335552716649
A5,0.0018966793985023065,3.4986863263701973,0.12360308497821243,4.9245479095928015,0.09385315580359685,10.078070442652121,0.30517472246827093,348.3627961214084,3.8540777209670435e-05,0.0014254668028674112,0.0009110071867316373,0.0005765178096190547,0.0006194162707658283
B5,0.0018966793985023065,3.4986863263701973,0.12360308497821243,4.9245479095928015,0.09385315580359685,10.078070442652121,0.30517472246827093,348.3627961214084,3.8540777209670435e-05,0.0014254668028674112,0.0009110071867316373,0.0005765178096190547,0.0006194162707658283
C5,0.0018966793985023065,3.4986863263701973,0.12360308497821243,4.9245479095928015,0.09385315580359685,10.078070442652121,0.30517472246827093,348.3627961214084,3.8540777209670435e-05,0.0014254668028674112,0.0009110071867316373,0.0005765178096190547,0.0006194162707658283
