Well,H3BO3[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM]
A1,0.019871433220891823,0.2057181714707134,2.365079713885357,0.021242698427533315,6.375749172292411,4.320422525776165,21.65290102385834,2.260717329788308e-05,0.0013055032912230055,8.94099088180904e-05,0.0006049580991208327,0.0005500703109386347
A2,0.019871433220891823,0.2057181714707134,2.365079713885357,0.021242698427533315,6.375749172292411,4.320422525776165,21.65290102385834,2.260717329788308e-05,0.0013055032912230055,8.94099088180904e-05,0.0006049580991208327,0.0005500703109386347
A3,0.019871433220891823,0.2057181714707134,2.365079713885357,0.021242698427533315,6.375749172292411,4.320422525776165,21.65290102385834,2.260717329788308e-05,0.0013055032912230055,8.94099088180904e-05,0.0006049580991208327,0.0005500703109386347
A4,0.003918248915877177,1.8836625323793361,0.7990893989021151,0.00953217095859219,8.860594843649588,3.425573990105282,15.010087892458984,0.0001021636191714882,0.00025458285500890054,0.0009375580588041555,0.006663241185467974,0.00019144945038129625
A5,0.003918248915877177,1.8836625323793361,0.7990893989021151,0.00953217095859219,8.860594843649588,3.425573990105282,15.010087892458984,0.0001021636191714882,0.00025458285500890054,0.0009375580588041555,0.006663241185467974,0.00019144945038129625
A6,0.003918248915877177,1.8836625323793361,0.7990893989021151,0.00953217095859219,8.860594843649588,3.425573990105282,15.010087892458984,0.0001021636191714882,0.00025458285500890054,0.0009375580588041555,0.006663241185467974,0.00019144945038129625
A7,0.0009277020729606753,0.11470383163627612,0.7491036528463653,0.024391658009361713,8.910734047526637,3.2780691265569413,39.314072303414314,0.0002446392738567893,0.0011653042557203685,9.939566943096144e-05,0.004753475394689642,5.7324874793569094e-05
A8,0.0009277020729606753,0.11470383163627612,0.7491036528463653,0.024391658009361713,8.910734047526637,3.2780691265569413,39.314072303414314,0.0002446392738567893,0.0011653042557203685,9.939566943096144e-05,0.004753475394689642,5.7324874793569094e-05
B1,0.0009277020729606753,0.11470383163627612,0.7491036528463653,0.024391658009361713,8.910734047526637,3.2780691265569413,39.314072303414314,0.0002446392738567893,0.0011653042557203685,9.939566943096144e-05,0.004753475394689642,5.7324874793569094e-05
B2,0.0031463087103700297,0.15531658350844196,1.1936594778513832,0.007360880261651028,6.570764011943472,2.9346640060646734,102.50034127826275,1.4317902298485726e-05,0.0002275586191163702,0.0004723444617425594,0.00011005313035000324,4.5004371023819745e-05
B3,0.0031463087103700297,0.15531658350844196,1.1936594778513832,0.007360880261651028,6.570764011943472,2.9346640060646734,102.50034127826275,1.4317902298485726e-05,0.0002275586191163702,0.0004723444617425594,0.00011005313035000324,4.5004371023819745e-05
B4,0.0031463087103700297,0.15531658350844196,1.1936594778513832,0.007360880261651028,6.570764011943472,2.9346640060646734,102.50034127826275,1.4317902298485726e-05,0.0002275586191163702,0.0004723444617425594,0.00011005313035000324,4.5004371023819745e-05
B5,0.0006609772243615035,0.07210896204593428,0.6709979221875153,0.003174300448522384,10.235411650351802,0.3285859106651058,69.70604450420812,2.4722609576362496e-05,0.0002308987591962999,8.46545857681957e-05,0.0004504022005122655,9.527954940961232e-05
B6,0.0006609772243615035,0.07210896204593428,0.6709979221875153,0.003174300448522384,10.235411650351802,0.3285859106651058,69.70604450420812,2.4722609576362496e-05,0.0002308987591962999,8.46545857681957e-05,0.0004504022005122655,9.527954940961232e-05
B7,0.0006609772243615035,0.07210896204593428,0.6709979221875153,0.003174300448522384,10.235411650351802,0.3285859106651058,69.70604450420812,2.4722609576362496e-05,0.0002308987591962999,8.46545857681957e-05,0.0004504022005122655,9.527954940961232e-05
B8,0.0028959068436055857,2.694506314960099,2.705554243260549,0.004144623905550992,10.053640245332282,0.20342585103858363,392.18786674397063,2.0961150603213732e-05,0.000674210367121578,0.0003304833507386879,0.001751354970547233,1.2607930824357616e-05
C1,0.0028959068436055857,2.694506314960099,2.705554243260549,0.004144623905550992,10.053640245332282,0.20342585103858363,392.18786674397063,2.0961150603213732e-05,0.000674210367121578,0.0003304833507386879,0.001751354970547233,1.2607930824357616e-05
C2,0.0028959068436055857,2.694506314960099,2.705554243260549,0.004144623905550992,10.053640245332282,0.20342585103858363,392.18786674397063,2.0961150603213732e-05,0.000674210367121578,0.0003304833507386879,0.001751354970547233,1.2607930824357616e-05
C3,0.0035694562025313874,0.13499608009856956,5.140923704520288,0.09999572110291385,13.041729559735797,0.13727129367206276,13.077056845043527,6.275118644680217e-05,0.00011796735078305503,0.0008646848689557779,0.0009883573368061136,0.00010828410240429756
C4,0.0035694562025313874,0.13499608009856956,5.140923704520288,0.09999572110291385,13.041729559735797,0.13727129367206276,13.077056845043527,6.275118644680217e-05,0.00011796735078305503,0.0008646848689557779,0.0009883573368061136,0.00010828410240429756
